,archivo,contrato,fecha_expedicion,periodo_facturacion,dias_facturados,medidores,consumo_kwh_total,costo_energia_mes,valor_unitario_kwh,total_factura,alumbrado_publico,tasa_seguridad,consumo_promedio_kwh_dia,tarifa_promedio
0,Susc1302678-202201.pdf,1302678,2022-01-08,NOV 19 a DIC 17,29,"['U42A_66621237', 'Q42A_66621237']",30360.0,16033058.32,528.1,17866616.0,1286449.39,272561.99,1046.896551724138,528.0981001317523
1,Susc1302678-202202.pdf,1302678,2022-02-15,DIC 18 a ENE 18,32,"['U42A_66621237', 'Q42A_66621237']",31680.0,17232047.71,543.94,18677501.0,1378706.01,,990.0,543.9408999368687
2,Susc1302678-202203.pdf,1302678,2022-03-14,ENE 19 a FEB 18,31,"['U42A_66621237', 'Q42A_66621237']",37840.0,21200204.34,560.26,23323890.0,1697892.85,360403.47,1220.6451612903227,560.2590998942917
3,Susc1302678-202204.pdf,1302678,2022-04-12,FEB 19 a MAR 18,28,"['U42A_66621237', 'Q42A_66621237']",31680.0,18281482.56,577.07,20120321.0,1462518.6,310785.2,1131.4285714285713,577.067
4,Susc1302678-202205.pdf,1302678,2022-05-09,MAR 19 a ABR 19,32,"['U42A_66621237', 'Q42A_66621237']",31680.0,19195555.1,605.92,21124213.0,1535644.41,326324.44,990.0,605.9202998737375
5,Susc1302678-202206.pdf,1302678,2022-06-07,ABR 20 a MAY 19,30,"['U42A_66621237', 'Q42A_66621237']",36960.0,22618766.02,611.98,24879532.0,1809501.28,384519.02,1232.0,611.9796001082251
6,Susc1302678-202207.pdf,1302678,2022-07-06,MAY 20 a JUN 17,29,"['U42A_66621237', 'Q42A_66621237']",31240.0,20074152.34,642.58,21237639.0,1605932.19,341260.59,1077.2413793103449,642.5785
7,Susc1302678-202208.pdf,1302678,2022-08-04,JUN 18 a JUL 19,32,"['U42A_66621237', 'Q42A_66621237']",33440.0,22562215.46,674.71,46054842.0,1804977.24,383557.66,1045.0,674.7074001196172
8,Susc1302678-202209.pdf,1302678,2022-09-06,JUL 20 a AGO 19,31,"['U42A_66621237', 'Q42A_66621237']",35200.0,24937186.56,708.44,27424502.0,1994974.92,423932.17,1135.483870967742,708.4427999999999
9,Susc1302678-202210.pdf,1302678,2022-10-07,AGO 20 a SEP 16,28,"['U42A_66621237', 'Q42A_66621237']",36520.0,26131053.34,715.53,56158177.0,2090484.27,444227.91,1304.2857142857142,715.527199890471
10,Susc1302678-202211.pdf,1302678,2022-11-04,SEP 17 a OCT 18,32,"['U42A_66621237', 'Q42A_66621237']",36960.0,26710345.2,722.68,29412221.0,2172109.42,454075.87,1155.0,722.6825
11,Susc1302678-202212.pdf,1302678,2022-12-02,OCT 19 a NOV 17,30,"['U42A_66621237', 'Q42A_66621237']",34760.0,24354110.84,700.64,56196530.0,1948328.87,414019.88,1158.6666666666667,700.6361001150748
12,Susc1302678-202301.pdf,1302678,2023-01-04,NOV 18 a DIC 16,29,"['U42A_66621237', 'Q42A_66621237']",32560.0,22812711.42,700.64,44950838.0,1825713.14,387816.09,1122.7586206896551,700.6361001228502
13,Susc1302678-202302.pdf,1302678,2023-02-03,DIC 17 a ENE 17,32,"['U42A_66621237', 'Q42A_66621237']",34760.0,24370844.3,701.12,26859299.0,1994322.46,414304.35,1086.25,701.1175000000001
14,Susc1302678-202303.pdf,1302678,2023-03-03,ENE 18 a FEB 17,31,"['U42A_66621237', 'Q42A_66621237']",40040.0,26245102.88,655.47,28863085.0,2099608.23,446166.75,1291.6129032258063,655.4720999000999
15,Susc1302678-202304.pdf,1302678,2023-04-03,FEB 18 a MAR 21,32,"['U42A_66621237', 'Q42A_66621237']",37840.0,24094169.7,636.74,26505163.0,1927533.58,409600.88,1182.5,636.7380998942917
16,Susc1302678-202305.pdf,1302678,2023-05-04,MAR 22 a ABR 18,28,"['U42A_66621237', 'Q42A_66621237']",30800.0,21634440.52,702.42,23809555.0,1730755.24,367785.49,1100.0,702.4168999999999
17,Susc1302678-202306.pdf,1302678,2023-06-05,ABR 19 a MAY 18,30,"['U42A_66621237', 'Q42A_66621237']",37400.0,24502583.82,655.15,26955772.0,1960206.71,416543.92,1246.6666666666667,655.1493
18,Susc1302678-202307.pdf,1302678,2023-07-07,MAY 19 a JUN 19,32,"['U42A_66621237', 'Q42A_66621237']",37840.0,23683041.89,625.87,26059034.0,1894643.35,402611.71,1182.5,625.8732000528541
19,Susc1302678-202308.pdf,1302678,2023-08-05,JUN 20 a JUL 19,30,"['U42A_66621237', 'Q42A_66621237']",36960.0,25397352.29,687.16,27938615.0,2031788.18,431754.99,1232.0,687.1578000541125
20,Susc1302678-202309.pdf,1302678,2023-09-05,JUL 20 a AGO 18,30,"['U42A_66621237', 'Q42A_66621237']",38720.0,24588895.94,635.04,54989833.0,1967111.68,418011.23,1290.6666666666667,635.0438001033058
21,Susc1302678-202310.pdf,1302678,2023-10-09,AGO 19 a SEP 18,31,"['U42A_66621237', 'Q42A_66621237']",38280.0,24177452.77,631.59,26605401.0,1934196.22,411016.7,1234.8387096774193,631.5948999477533
