feature,coefficient
m_wwbb,-1.00660240650177
m_wbb,0.6491383910179138
m_bb,-0.6048290133476257
jet 1 pt,0.3680588901042938
m_jjj,0.2744552791118622
missing energy magnitude,-0.2436128556728363
m_jlv,0.19749072194099426
lepton pT,-0.17961502075195312
m_jj,-0.11134123057126999
m_lv,0.10964125394821167
jet 4 pt,0.09606067836284637
jet 2 pt,0.0916629433631897
jet 3 b-tag,-0.07972878217697144
jet 4 b-tag,-0.0749000683426857
jet 3 pt,0.07032131403684616
jet 2 b-tag,-0.060920774936676025
jet 1 b-tag,0.02905259281396866
lepton phi,0.0020602152217179537
missing energy phi,-0.0011573269730433822
jet 1 phi,0.0007727605407126248
jet 2 phi,-0.0007493332377634943
jet 4 phi,0.0006162174395285547
jet 3 phi,-0.0005572204827331007
jet 3 eta,-0.0005238809972070158
jet 1 eta,0.0005039907991886139
jet 4 eta,-0.0004691585199907422
lepton eta,-0.00045381797826848924
jet 2 eta,-0.00030256586614996195
