feature,gini_importance
m_bb,0.3217108097040503
m_wwbb,0.1598055294240583
m_wbb,0.0995270813362824
m_jlv,0.09293939328868955
jet 1 pt,0.09222775514174202
m_jjj,0.0783044989412525
lepton pT,0.039024857767103974
m_jj,0.03771133710989249
missing energy magnitude,0.028169340617955226
jet 2 pt,0.017053145242553677
m_lv,0.009766879137803585
jet 3 pt,0.006657452606986071
jet 1 b-tag,0.005298672614735498
jet 4 pt,0.004545794941506965
jet 4 b-tag,0.0019103789617788897
jet 1 eta,0.0016297814700214988
jet 2 b-tag,0.0012397200213949734
jet 3 b-tag,0.0009341615691634907
lepton eta,0.00038790239624803414
jet 2 eta,0.00025514538888747775
jet 3 phi,0.00015904639483428293
jet 4 eta,0.0001548560564700948
jet 3 eta,0.0001392025270900568
missing energy phi,0.00013769426376807598
jet 2 phi,9.800360685117833e-05
lepton phi,9.368967184285936e-05
jet 1 phi,6.047498782030875e-05
jet 4 phi,5.739480921633811e-05
