feature,gini_importance
m_bb,0.12751691522770237
m_wwbb,0.07197277660116441
m_wbb,0.05963677746916588
m_jlv,0.056602239363521954
jet 1 pt,0.056003785749815245
m_jjj,0.05217740761127851
lepton pT,0.04313950469220351
m_jj,0.04215170264298248
missing energy magnitude,0.0384111004675815
jet 2 pt,0.035898491940390825
m_lv,0.03268568301038958
jet 3 pt,0.03208281550392575
jet 4 pt,0.030781881961041827
jet 1 eta,0.028655250274669797
lepton eta,0.028428487418069703
jet 2 eta,0.027805916928023564
jet 1 phi,0.02758074536825147
jet 4 eta,0.027564704570464272
jet 2 phi,0.027502048346751132
jet 3 phi,0.027486397144977193
jet 3 eta,0.027470036438218114
jet 4 phi,0.027445641906434132
lepton phi,0.02723843844077775
missing energy phi,0.02683884559631321
jet 1 b-tag,0.005382433044685154
jet 2 b-tag,0.0040080439011735735
jet 3 b-tag,0.003784332329041322
jet 4 b-tag,0.0037475960509857874
