feature,importance
m_bb,0.09629199999999996
m_wwbb,0.07225999999999996
m_wbb,0.051391999999999924
jet 1 pt,0.03161999999999996
m_jjj,0.031411999999999954
m_jlv,0.025387999999999945
lepton pT,0.018667999999999952
jet 2 pt,0.01197199999999996
missing energy magnitude,0.010635999999999956
m_jj,0.009899999999999931
lepton eta,0.005387999999999948
m_lv,0.004375999999999958
jet 3 pt,0.0038559999999999706
jet 4 pt,0.0030719999999999415
jet 1 b-tag,0.0029559999999999365
jet 1 eta,0.0019639999999999437
jet 4 b-tag,0.0016239999999999588
jet 2 b-tag,0.001579999999999937
jet 2 eta,0.0015479999999999494
jet 3 b-tag,0.0011919999999999487
jet 3 eta,0.001159999999999961
jet 4 eta,0.0010679999999999358
jet 2 phi,3.599999999994719e-05
missing energy phi,2.7999999999939186e-05
jet 4 phi,3.999999999959591e-06
jet 1 phi,-3.6000000000036e-05
jet 3 phi,-4.8000000000048004e-05
lepton phi,-5.60000000000338e-05
