feature,importance
m_bb,0.36250351377363643
m_wwbb,0.13919105486551428
m_wbb,0.11973609617791582
m_jjj,0.10225154463023377
jet 1 pt,0.08390430094618245
m_jlv,0.08027315336556733
missing energy magnitude,0.030735460413589807
lepton pT,0.029537935722467552
jet 2 pt,0.015857982489534277
m_jj,0.014569730763692453
jet 1 b-tag,0.006796189785051928
m_lv,0.005757814233157418
jet 3 pt,0.0037273855403002097
jet 4 pt,0.003478081343948451
jet 3 b-tag,0.0007108704679089563
jet 1 eta,0.0006515460996016417
jet 2 b-tag,0.000306560531918825
jet 2 eta,1.077884977831651e-05
jet 4 b-tag,0.0
jet 4 eta,0.0
jet 4 phi,0.0
jet 2 phi,0.0
jet 3 eta,0.0
jet 3 phi,0.0
missing energy phi,0.0
jet 1 phi,0.0
lepton phi,0.0
lepton eta,0.0
